Alpha_Cell,Beta_Cell,Delta_Cell,Gamma_Cell,Acinar_Cell,Ductal_Cell,Endothelial_Cell,Epsilon_Cell,Macrophage
GCG,ADCYAP1,SST,ETV1,CTRB1,CFTR,PECAM1,GHRL,ITGAL
IRX2,NPTX2,HHEX,THSD7A,KLK1,HNF1B,ICAM1,ANXA13,ITGAM
LOXL4,TGFBR3,LEPR,PPY,RBPJL,KRT20,ITGB3,PHGR1,CD14
ARX,PDX1,PRG4,SERTM1,PTF1A,MUC1,SELE,BMP4,FUT4
CRYBA2,SCD5,BCHE,AQP3,TRY4,ONECUT1,VCAM1,HMGCS2,FCGR3A
GC,GLIS3,DPYSL3,ID2,CELA3A,AMBP,MCAM,TM4SF5,CD33
PLCE1,INS,SLC38A1,SLITRK6,PRSS1,HHEX,PROCR,OLFML3,FCGR1A
FEV,HADH,FRZB,ZNF503,AMY2A2,ANXA4,TEK,ASGR1,CD80
PTPRT,PFKFB2,RBP4,CHN2,SPINK1,SPP1,FLT4,COX6A2,LILRB4
FAP,DLK1,PCSK1,ENTPD2,ZG16,PDX1,APLN,NPY1R,CD86
MUC13,PRSS23,TENM3,SLC6A4,CEL,SERPINA3,VWF,FAXDC2,CD163
SLC38A4,GSN,AMIGO2,ABCB1,CELA2A,CFB,NOS3,SLC7A9,CCR5
KLHL41,CASR,SYNE2,AMOTL1,AMY2A3,GDF15,THBD,GRAMD2,TLR2
FSTL5,ITPR3,AQP3,ABCC9,CPB1,AKR1C3,PLVAP,C2ORF54,TLR4
ARRDC4,TNS1,CABP7,TMEM47,CELA1,MMP7,ACKR1,GHRLOS,ADGRE1
KCTD12,MAPT,EHF,MEIS2,AMY2A5,DEFB1,SLCO1C1,BHMT,GPR34
DPP4,WLS,RGS2,CHRM3,RNASE1,SERPING1,TMEM100,OPRK1,CCL9
COTL1,SYNE2,AKAP12,TUBB2A,AMY2B,TSPAN8,ADGRF5,PTGER4,TREM2
TM4SF4,TIMP2,PSIP1,MDFIC,CPA2,CLDN10,ABCB1A,ITGA4,FABP4
